"Latitud ","Longitud","","",""
"-22.90925430","-43.19336870","","",""
"-22.91847879","-43.22674166","","",""
"-22.91410490","-43.18186820","","",""
"-22.98333920","-43.19242880","","",""
"-22.96550780","-43.18343730","","",""
"-22.96550780","-43.18343730","","",""
"-22.96730665","-43.18146966","","",""
"-22.93725780","-43.17592130","","",""
"-22.92289470","-43.21713300","","",""
"-22.98242300","-43.20567500","","",""
"-22.92130000","-43.19729540","","",""
"-22.92768700","-43.17555150","","",""
"-22.92336810","-43.23528780","","",""
"-22.94961000","-43.18683700","","",""
"-22.98442280","-43.23096732","","",""
"-22.94594430","-43.18573670","","",""
"-22.98654025","-43.19384471","","",""
"-22.94311192","-43.19220946","","",""
"-22.89728230","-43.19389930","","",""
"-22.95519720","-43.19575160","","",""
"-22.94975070","-43.18572610","","",""
"-22.93259370","-43.17842090","","",""
"-22.98385490","-43.20267130","","",""
"-22.93578790","-43.18494400","","",""
"-22.93318410","-43.18203750","","",""
"-22.96648650","-43.17967290","","",""
"-22.96310470","-43.17774930","","",""
"-22.96152020","-43.17320850","","",""
"-22.95752700","-43.19562200","","",""
"-22.91276030","-43.18750350","","",""
"-22.91340510","-43.21999130","","",""
"-22.91847879","-43.22674166","","",""
"-22.98132112","-43.19297802","","",""
"-22.91766848","-43.18722334","","",""
"-22.96938140","-43.18490990","","",""
"-22.92905900","-43.23095100","","",""
"-22.92352770","-43.22855390","","",""
"-22.90513110","-43.20181750","","",""
"-22.96651000","-43.17951200","","",""
"-22.93932553","-43.17371506","","",""
"-22.95189950","-43.17603910","","",""
"-22.89944700","-43.17948400","","",""
"-22.97247755","-43.19037359","","",""
"-22.98198000","-43.20570810","","",""
"-22.96389300","-43.17258100","","",""
"-22.91498310","-43.18979280","","",""
"-22.97420020","-43.19132440","","",""
"-22.90785310","-43.17333630","","",""
"-22.94095200","-43.18093630","","",""
"-22.96597100","-43.18935590","","",""
"-22.98514000","-43.20313330","","",""
"-22.92988789","-43.17581255","","",""
"-22.98245760","-43.19026560","","",""
"-22.97516130","-43.22844520","","",""
"-22.93471000","-43.18405300","","",""
"-22.93686480","-43.17859190","","",""
"-22.96580640","-43.17828530","","",""
"-22.96993780","-43.18501430","","",""
"-22.92067670","-43.21849570","","",""
"-22.92204550","-43.20731510","","",""
"-22.97354750","-43.18891930","","",""
"-22.97393400","-43.19124790","","",""
"-22.97718310","-43.19172080","","",""
"-22.90875340","-43.17106460","","",""
"-22.92220220","-43.17978660","","",""
"-22.90389930","-43.17536660","","",""
"-22.94924780","-43.18790210","","",""
"-22.91242580","-43.19290950","","",""
"-22.97255600","-43.20389600","","",""
"-22.96294000","-43.17497160","","",""
"-22.93300150","-43.17543510","","",""
"-22.95196130","-43.18630130","","",""
"-22.94549480","-43.18218070","","",""
"-22.98290540","-43.19014760","","",""
"-22.95992030","-43.20596020","","",""
"-22.91653450","-43.18849500","","",""
"-22.96269440","-43.17323850","","",""
"-22.92050850","-43.19449330","","",""
"-22.92510500","-43.18286300","","",""
"-22.97501110","-43.22853750","","",""
"-22.91617310","-43.19224970","","",""
"-22.91377050","-43.20108220","","",""
"-22.96993780","-43.18501430","","",""
"-22.98468300","-43.19996400","","",""
"-22.91596985","-43.22396891","","",""
"-22.97763110","-43.19130820","","",""
"-22.96631970","-43.18120880","","",""
"-22.91432790","-43.18287280","","",""
"-22.97636000","-4,319,211.00000000","","",""
"-22.97667870","-43.22909195","","",""
"-22.93627950","-43.17564380","","",""
"-22.91876860","-43.18100540","","",""
"-22.93474130","-43.17735240","","",""
"-22.92969980","-43.17584980","","",""
"-22.96287000","-43.17421100","","",""
"-22.98352410","-43.21370850","","",""
"-22.96193400","-43.16940700","","",""
"-22.97130420","-43.18588340","","",""
"-22.97193830","-43.18779350","","",""
"-22.91051400","-43.18883520","","",""
"-22.96199530","-43.17423370","","",""
"-22.93819980","-43.19220650","","",""
"-22.92338150","-43.23194090","","",""
"-22.93570670","-43.18635230","","",""
"-22.91275610","-43.19075520","","",""
"-22.98243430","-43.21107670","","",""
"-22.90877060","-43.19404920","","",""
"-22.94967850","-43.18544240","","",""
"-22.91426070","-43.18331800","","",""
"-22.96615910","-43.18543750","","",""
"-22.95662210","-43.19814710","","",""
"-22.96877700","-43.18562900","","",""
"-22.96602580","-43.17813660","","",""
"-22.96314060","-43.17565980","","",""
"-22.96770800","-43.18406860","","",""
"-22.97121770","-43.18573020","","",""
"-229,492,054.00000000","-43.18538880","","",""
"-22.96770800","-43.18406860","","",""
"-22.93711000","-43.17753300","","",""
"-22.97992749","-43.21974278","","",""
"-22.95390911","-43.19260821","","",""
"-22.91645145","-43.19257904","","",""
"-22.96705670","-43.18817310","","",""
"-22.98180070","-43.20049320","","",""
"-22.94139750","-43.18172620","","",""
"-22.98719510","-43.19292540","","",""
"-22.98684240","-43.19396140","","",""
"-22.92397309","-43.17856056","","",""
"-22.94915210","-43.18595310","","",""
"-22.91595350","-43.18996690","","",""
"-229,212,095.00000000","-43.18424050","","",""
"-22.98221860","-43.19622310","","",""
"-22.98245760","-43.19026560","","",""
"-22.91825398","-43.18887591","","",""
"-22.93314900","-43.17539380","","",""
"-22.91515350","-43.18537940","","",""
"-22.97821910","-43.19053550","","",""
"-22.93784900","-43.17509200","","",""
"-22.92290930","-43.22049940","","",""
"-22.91107910","-43.18894690","","",""
"-22.90607860","-43.17681838","","",""
"-22.92070170","-43.18552040","","",""
"-22.93380140","-43.17762170","","",""
"-22.94053990","-43.19661200","","",""
"-22.95605015","-43.19329232","","",""
"-22.97790100","-43.19112000","","",""
"-22.97763110","-43.19130820","","",""
"-22.96385790","-43.17324400","","",""
"-22.97071120","-43.18644330","","",""
"-22.92583700","-43.17915400","","",""
"-22.93819850","-43.18314450","","",""
"-22.96705010","-43.18646380","","",""
"-22.95258490","-43.19378240","","",""
"-22.91319460","-43.18247900","","",""
"-22.92769120","-43.17615340","","",""
"-22.91752770","-43.19783750","","",""
"-22.97335420","-43.20558450","","",""
"-22.96586100","-43.21718800","","",""
"-22.96730665","-43.18146966","","",""
"-22.91918040","-43.18485500","","",""
"-22.98293560","-43.19191060","","",""
"-22.96504120","-43.17710000","","",""
"-22.89944700","-43.17948400","","",""
"-22.92067670","-43.21849570","","",""
"-22.97692250","-43.18893140","","",""
"-22.98202925","-43.19090820","","",""
"-22.96241170","-43.17867300","","",""
"-22.96708800","-43.18195550","","",""
"-22.98710000","-43.19456100","","",""
"-22.95515080","-43.17773600","","",""
"-22.96584770","-43.19212830","","",""
"-22.91273160","-43.22635140","","",""
"-22.96680510","-43.18022150","","",""
"-229,159,535.00000000","-43.18996690","","",""
"-22.93943100","-43.17669000","","",""
"-22.97584500","-43.18815120","","",""
"-22.91374520","-43.18279530","","",""
"-22.93928416","-43.17587625","","",""
"-22.96770800","-43.18406860","","",""
"-22.90176300","-43.17937000","","",""
"-22.90383430","-43.18254210","","",""
"-22.93234548","-43.18120513","","",""
"-22.98215670","-43.22565970","","",""
"-22.93886040","-43.17319240","","",""
"-22.90906700","-43.17829460","","",""
"-22.97534954","-43.19202114","","",""
"-22.95760070","-43.19775130","","",""
"-22.92706373","-43.17544375","","",""
"-22.96224977","-43.16859875","","",""
"-22.98156300","-43.19377700","","",""
"-22.91595350","-43.18996690","","",""
"-22.95905100","-43.19565900","","",""
"-22.95871543","-43.20043182","","",""
"-22.95632480","-43.18861640","","",""
"-22.95557720","-43.17517630","","",""
"-22.92374830","-43.23384380","","",""
"-22.98661900","-43.19785600","","",""
"-22.96460000","-43.19468400","","",""
"-22.96173280","-43.17349420","","",""
"-22.91516380","-43.18793540","","",""
"-22.91432900","-43.18238200","","",""
"-22.92009070","-43.18024240","","",""
"-22.90383430","-43.18254210","","",""
"-22.92352770","-43.22855390","","",""
"-22.96362050","-43.17568610","","",""
"-22.90383800","-43.22150120","","",""
"-22.98040190","-43.19077630","","",""
"-22.93293080","-43.18107270","","",""
"-22.92718440","-43.17925060","","",""
"-22.93950780","-43.17664840","","",""
"-22.97420020","-43.19132440","","",""
"-22.94957710","-43.18269960","","",""
"-22.91302290","-43.18429790","","",""
"-22.96770800","-43.18406860","","",""
"-22.97210930","-43.18683000","","",""
"-22.96470530","-43.19043080","","",""
"-22.92338150","-43.23194090","","",""
"-22.96508833","-43.18304479","","",""
"-22.92776500","-43.17414860","","",""
"-22.89797010","-43.18957720","","",""
"-22.98253400","-43.20923500","","",""
"-22.91667400","-43.18780184","","",""
"-22.95142220","-43.19183500","","",""
"-22.98043800","-43.20261800","","",""
"-22.91238010","-43.19284790","","",""
"-22.95602080","-43.18153620","","",""
"-22.91053500","-43.18893780","","",""
"-22.93714190","-43.18905510","","",""
"-22.92905900","-43.23095100","","",""
"-22.96192140","-43.20725340","","",""
"-22.96256670","-43.16975040","","",""
"-22.97247755","-43.19037359","","",""
"-22.98358990","-43.19618820","","",""
"-22.98753930","-43.22915590","","",""
"-22.94557997","-43.18588492","","",""
"-22.96639590","-43.18696410","","",""
"-22.93525950","-43.17918300","","",""
"-22.91774480","-43.18699910","","",""
"-22.98352410","-43.21370850","","",""
"-22.97535670","-43.19201370","","",""
"-22.91348124","-43.18638817","","",""
"-22.97328270","-43.18995230","","",""
"-22.97045964","-43.18824353","","",""
"-22.92776500","-43.17414860","","",""
"-22.98043800","-43.20261800","","",""
"-22.91740400","-43.21352800","","",""
"-22.97580080","-43.18799430","","",""
"-22.92460852","-43.17853399","","",""
"-22.91267020","-43.17726640","","",""
"-22.95574500","-43.18854300","","",""
"-22.90785310","-43.17333630","","",""
"-22.96959220","-43.18441540","","",""
"-22.90535280","-43.17559080","","",""
"-22.98349730","-43.21107900","","",""
"-22.97755680","-43.19194790","","",""
"-22.93629900","-43.18524500","","",""
"-22.92712590","-43.17380860","","",""
"-22.97742130","-43.22508090","","",""
"-22.96111630","-43.19046430","","",""
"-22.93991920","-43.19097850","","",""
"-22.96119570","-43.16884900","","",""
"-22.98194600","-43.19556730","","",""
"-22.94185520","-43.18069480","","",""
"-22.96001000","-43.20136700","","",""
"-22.93278090","-43.18452940","","",""
"-22.93941785","-43.17700245","","",""
"-22.98514000","-43.20313330","","",""
"-22.98423660","-43.19127510","","",""
"-22.91508900","-43.18690820","","",""
"-22.94314208","-43.19129996","","",""
"-22.93303161","-43.17531192","","",""
"-22.94053990","-43.19661200","","",""
"-22.98212000","-43.20314800","","",""
"-22.98197240","-43.19905557","","",""
"-22.96117848","-43.21564025","","",""
"-22.98085600","-43.22060000","","",""
"-22.97420020","-43.19132440","","",""
"-22.98371700","-43.19087600","","",""
"-22.92873400","-43.17952000","","",""
"-22.96772500","-43.18293700","","",""
"-22.95588970","-43.17917420","","",""
"-22.91219960","-43.20199070","","",""
"-22.96413800","-43.17623800","","",""
"-22.90602970","-43.17933470","","",""
"-22.91978250","-43.19580700","","",""
"-22.97682980","-43.19686110","","",""
"-22.96723000","-43.18664100","","",""
"-22.98628180","-43.19306230","","",""
"-22.95083330","-43.18755810","","",""
"-22.94183970","-43.17666210","","",""
"-22.95002810","-43.18822290","","",""
"-22.98669940","-43.19405110","","",""
"-22.91680160","-43.17691080","","",""
"-22.93684270","-43.18972490","","",""
"-22.91501700","-43.19315000","","",""
"-22.92811300","-43.17706600","","",""
"-22.94511600","-43.16190700","","",""
"-22.91976890","-43.17983660","","",""
"-22.94143970","-43.17669910","","",""
"-22.95080340","-43.18724110","","",""
